iter	Passed	Remaining
0	5	506
1	9	468
2	14	454
3	17	423
4	21	415
5	26	418
6	30	410
7	34	402
8	39	394
9	41	376
10	44	359
11	46	342
12	49	328
13	51	316
14	53	305
15	56	295
16	58	287
17	61	279
18	63	269
19	65	261
20	67	254
21	69	246
22	71	239
23	73	233
24	75	227
25	78	222
26	80	216
27	82	211
28	84	206
29	86	201
30	88	197
31	90	193
32	92	188
33	95	184
34	97	180
35	99	177
36	101	173
37	103	169
38	106	165
39	108	162
40	110	159
41	111	153
42	113	150
43	115	147
44	117	144
45	119	140
46	122	137
47	124	134
48	126	131
49	128	128
50	131	125
51	133	122
52	135	120
53	137	116
54	138	113
55	140	110
56	143	107
57	145	105
58	147	102
59	149	99
60	151	96
61	153	94
62	156	91
63	158	89
64	160	86
65	162	83
66	165	81
67	167	78
68	169	76
69	171	73
70	173	70
71	175	68
72	177	65
73	180	63
74	182	60
75	184	58
76	186	55
77	188	53
78	190	50
79	192	48
80	194	45
81	196	43
82	198	40
83	200	38
84	202	35
85	204	33
86	206	30
87	208	28
88	209	25
89	211	23
90	214	21
91	216	18
92	218	16
93	220	14
94	222	11
95	224	9
96	226	7
97	228	4
98	230	2
99	232	0
